iter	Passed	Remaining
481	597	642
482	598	640
483	599	639
484	600	638
485	601	636
486	602	635
487	603	633
488	604	632
489	605	630
490	606	629
491	607	627
492	608	626
493	609	624
494	610	622
495	612	621
496	613	620
497	614	619
498	615	617
499	616	616
500	617	614
501	618	613
502	619	611
503	619	610
504	620	608
505	622	607
506	623	605
507	624	604
508	625	603
509	626	601
510	627	600
511	628	598
512	629	597
513	629	595
514	630	594
515	631	592
516	632	591
517	633	589
518	634	588
519	635	586
520	636	585
521	637	583
522	638	582
523	639	580
524	640	579
525	641	577
526	642	576
527	642	574
528	644	573
529	645	572
530	646	571
531	647	569
532	648	568
533	650	567
534	651	566
535	652	564
536	653	563
537	654	562
538	656	561
539	657	560
540	658	558
541	660	557
542	661	556
543	663	555
544	664	554
545	665	553
546	666	552
547	668	551
548	669	550
549	670	548
550	672	547
551	673	546
552	674	545
553	675	544
554	677	543
555	679	542
556	680	541
557	681	539
558	682	538
559	683	537
560	684	535
561	686	534
562	687	533
563	689	532
564	690	531
565	691	530
566	693	529
567	694	528
568	695	526
569	696	525
570	698	524
571	699	523
572	700	522
573	701	520
574	702	519
575	703	517
576	704	516
577	705	515
578	706	513
579	707	512
580	708	510
581	709	509
582	709	507
583	710	506
584	711	505
585	712	503
586	713	502
587	714	500
588	715	499
589	716	497
590	717	496
591	718	495
592	719	493
593	720	492
594	721	490
595	722	489
596	723	488
597	724	486
598	725	485
599	726	484
600	727	483
601	728	481
602	729	480
603	730	479
604	731	477
605	732	476
606	733	475
607	735	474
608	736	472
609	737	471
610	738	470
611	739	469
612	741	467
613	742	466
614	743	465
615	744	464
616	745	462
617	746	461
618	747	460
619	749	459
620	750	458
621	751	456
622	753	455
623	754	454
624	755	453
625	756	451
626	757	450
627	759	449
628	760	448
629	761	447
630	762	446
631	763	444
632	765	443
633	766	442
634	767	441
635	768	440
636	770	438
637	771	437
638	772	436
639	773	434
640	774	433
641	775	432
642	776	431
643	777	429
644	778	428
645	779	427
646	780	425
647	781	424
648	782	423
649	783	421
650	784	420
651	785	419
652	786	418
653	787	416
654	788	415
655	789	414
656	791	413
657	792	412
658	793	410
659	795	409
660	800	410
661	803	410
662	806	409
663	808	409
664	810	408
665	815	408
666	817	407
667	819	407
668	821	406
669	822	405
670	824	404
671	827	403
672	828	402
673	830	401
674	831	400
675	833	399
676	837	399
677	839	398
678	842	398
679	844	397
680	845	395
681	846	394
682	847	393
683	849	392
684	850	391
685	851	389
686	853	388
687	854	387
688	855	386
689	856	384
690	858	383
691	859	382
692	861	381
693	862	380
694	864	379
695	865	378
696	867	376
697	868	375
698	870	374
699	871	373
700	873	372
701	874	371
702	875	369
703	876	368
704	877	367
705	879	366
706	880	364
707	881	363
708	882	362
709	883	360
710	884	359
711	885	358
712	887	357
713	888	355
714	889	354
715	890	353
716	891	351
717	892	350
718	893	349
719	895	348
720	896	346
721	897	345
722	898	344
723	899	342
724	900	341
725	901	340
726	902	339
727	903	337
728	905	336
729	906	335
730	907	333
731	908	332
732	909	331
733	910	330
734	911	328
735	912	327
736	914	326
737	915	324
738	916	323
739	917	322
740	918	321
741	919	319
742	920	318
743	922	317
744	923	315
745	923	314
746	924	313
747	925	311
748	926	310
749	927	309
750	928	308
751	929	306
752	930	305
753	931	303
754	932	302
755	933	301
756	934	299
757	935	298
758	936	297
759	937	295
760	938	294
761	939	293
762	940	292
763	941	290
764	943	289
765	944	288
766	945	287
767	946	285
768	947	284
769	948	283
770	949	282
771	950	280
772	952	279
773	953	278
774	954	277
775	956	276
776	957	274
777	959	273
778	962	272
779	963	271
780	964	270
781	965	269
782	966	267
783	968	266
784	968	265
785	970	264
786	971	262
787	972	261
788	973	260
789	974	259
790	975	257
791	977	256
792	978	255
793	979	254
794	980	252
795	982	251
796	983	250
797	985	249
798	986	248
799	988	247
800	989	245
801	990	244
802	991	243
803	992	241
804	993	240
805	995	239
806	996	238
807	997	237
808	998	235
809	999	234
810	1000	233
811	1001	231
812	1002	230
813	1004	229
814	1005	228
815	1007	227
816	1008	225
817	1009	224
818	1011	223
819	1012	222
820	1013	220
821	1015	219
822	1016	218
823	1018	217
824	1019	216
825	1020	215
826	1022	213
827	1023	212
828	1024	211
829	1026	210
830	1028	209
831	1029	207
832	1030	206
833	1032	205
834	1033	204
835	1034	202
836	1035	201
837	1037	200
838	1038	199
839	1040	198
840	1041	196
841	1042	195
842	1043	194
843	1045	193
844	1046	191
845	1047	190
846	1049	189
847	1050	188
848	1051	187
849	1053	185
850	1054	184
851	1055	183
852	1056	182
853	1057	180
854	1058	179
855	1060	178
856	1061	177
857	1063	175
858	1064	174
859	1065	173
860	1065	172
861	1066	170
862	1067	169
863	1068	168
864	1069	166
865	1070	165
866	1071	164
867	1072	163
868	1073	161
869	1074	160
870	1075	159
871	1076	157
872	1077	156
873	1077	155
874	1078	154
875	1079	152
876	1080	151
877	1081	150
878	1082	149
879	1083	147
880	1084	146
881	1085	145
882	1086	143
883	1086	142
884	1087	141
885	1088	140
886	1089	138
887	1090	137
888	1091	136
889	1091	134
890	1092	133
891	1093	132
892	1094	131
893	1095	129
894	1096	128
895	1097	127
896	1098	126
897	1098	124
898	1099	123
899	1100	122
900	1101	121
901	1102	119
902	1103	118
903	1104	117
904	1105	116
905	1106	114
906	1107	113
907	1107	112
908	1108	110
909	1109	109
910	1110	108
911	1111	107
912	1112	105
913	1112	104
914	1113	103
915	1114	102
916	1115	100
917	1116	99
918	1117	98
919	1118	97
920	1119	96
921	1120	94
922	1120	93
923	1121	92
924	1122	91
925	1123	89
926	1124	88
927	1124	87
928	1125	86
929	1126	84
930	1127	83
931	1128	82
932	1129	81
933	1130	79
934	1131	78
935	1131	77
936	1132	76
937	1133	74
938	1134	73
939	1135	72
940	1135	71
941	1136	69
942	1137	68
943	1138	67
944	1139	66
945	1140	65
946	1141	63
947	1141	62
948	1142	61
949	1143	60
950	1144	58
951	1145	57
952	1146	56
953	1147	55
954	1148	54
955	1149	52
956	1150	51
957	1151	50
958	1152	49
959	1153	48
960	1154	46
961	1155	45
962	1156	44
963	1156	43
964	1157	41
965	1158	40
966	1159	39
967	1160	38
968	1161	37
969	1162	35
970	1163	34
971	1163	33
972	1164	32
973	1165	31
974	1166	29
975	1167	28
976	1168	27
977	1168	26
978	1169	25
979	1170	23
980	1171	22
981	1172	21
982	1173	20
983	1174	19
984	1175	17
985	1175	16
986	1176	15
987	1177	14
988	1178	13
989	1179	11
990	1180	10
991	1180	9
992	1181	8
993	1182	7
994	1183	5
995	1184	4
996	1185	3
997	1186	2
998	1187	1
999	1188	0
